Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR10551657 - polya	(1, 0.6856939617318456)	(2, 0.6909315633709381)	(3, 0.692481804870881)	(4, 0.6956265804850507)	(5, 0.6970217978349992)	(6, 0.7022593994740917)	(7, 0.7055038334704005)	(8, 0.7143734294807875)	(9, 0.720707273323411)	(10, 0.7333528147015159)	(11, 0.7357889084871404)	(12, 0.7395205612405741)	(13, 0.7421559717904769)	(14, 0.7458101124689135)	(15, 0.7488109370866599)	(16, 0.7516788838615541)	(17, 0.7553108782328487)	(18, 0.7590093115255694)	(19, 0.763748621253966)	(20, 0.7685654430573597)	(21, 0.772009193817947)	(22, 0.7752314815071137)	(23, 0.7789409879534055)	(24, 0.7830159084675409)	(25, 0.7865260981495542)	(26, 0.7902909703637011)	(27, 0.7947091586385381)	(28, 0.7981972020134094)	(29, 0.8025046587525362)	(30, 0.8084177227594609)	(31, 0.8133563492521358)	(32, 0.8177523912198308)	(33, 0.8231117975482045)	(34, 0.829445641390828)	(35, 0.8352811933227555)	(36, 0.8412606962511063)	(37, 0.8476609790151559)	(38, 0.8542937980041969)	(39, 0.8602068620111216)
SRR10551658 - polya	(1, 0.9041430425328447)	(2, 0.9111886887719598)	(3, 0.9132141312226294)	(4, 0.9166718508348439)	(5, 0.9191168492217238)	(6, 0.9262782350294485)	(7, 0.9317324622001802)	(8, 0.9449991102520663)	(9, 0.9562692507454351)	(10, 0.9748020491690622)	(11, 0.9779704198597525)	(12, 0.9826578723884452)	(13, 0.9862747339074981)	(14, 0.9902098792402276)	(15, 0.9940437524504236)	(16, 0.9969661765578184)	(17, 1.0005396357386427)	(18, 1.0043156391645338)	(19, 1.0091332987079125)	(20, 1.0142692420649675)	(21, 1.0180307780447826)	(22, 1.0215753023334544)	(23, 1.02552491511226)	(24, 1.0299085512733523)	(25, 1.033988371066844)	(26, 1.0389362376249083)	(27, 1.0436092227075247)	(28, 1.0469512027511296)	(29, 1.0511901644514596)	(30, 1.0568614033133346)	(31, 1.0623300979301424)	(32, 1.0670030830127588)	(33, 1.0727755939971673)	(34, 1.0793438145157674)	(35, 1.0845665625492797)	(36, 1.090396943317993)	(37, 1.0965890102386116)	(38, 1.1029112841739162)	(39, 1.1088718719573152)
SRR10551659 - polya	(1, 0.8661515240365034)	(2, 0.8719585725841138)	(3, 0.874194685580836)	(4, 0.878050839626204)	(5, 0.8812795129837163)	(6, 0.8898931115170087)	(7, 0.8960652397375534)	(8, 0.9120374754284267)	(9, 0.92432468817062)	(10, 0.9415518852372048)	(11, 0.9440618079886278)	(12, 0.9482488154875924)	(13, 0.9515003063246631)	(14, 0.954706162202617)	(15, 0.9577979306827789)	(16, 0.9609353341220576)	(17, 0.9641297812602322)	(18, 0.9671759147812773)	(19, 0.9714884184178132)	(20, 0.9757895133145698)	(21, 0.9790980478505363)	(22, 0.9820415027135687)	(23, 0.9857379344020281)	(24, 0.9887726591832939)	(25, 0.9918872451430143)	(26, 0.9956521292701487)	(27, 0.999998859126022)	(28, 1.003444298539339)	(29, 1.0074601749416159)	(30, 1.0124343854853448)	(31, 1.0161308171738042)	(32, 1.0202265547545353)	(33, 1.0252806264767187)	(34, 1.0313843022585882)	(35, 1.0358907544713702)	(36, 1.0413783583051632)	(37, 1.0465693349046972)	(38, 1.0516119978871015)	(39, 1.0561640850590004)
SRR10551660 - polya	(1, 0.3280646692525941)	(2, 0.3305225208595525)	(3, 0.33175980670251115)	(4, 0.33304725278234654)	(5, 0.3349199016257434)	(6, 0.33650830912683904)	(7, 0.33874879970733174)	(8, 0.34505226947483736)	(9, 0.34886444747746675)	(10, 0.35638848300897213)	(11, 0.35765920900984866)	(12, 0.3590804157213552)	(13, 0.3610366649595466)	(14, 0.3628089933291901)	(15, 0.3644308409882035)	(16, 0.36568484691012104)	(17, 0.3672230941743399)	(18, 0.3691626233335724)	(19, 0.37153687454573636)	(20, 0.37367704465247564)	(21, 0.3762853769700642)	(22, 0.3780577053397077)	(23, 0.3797798734724745)	(24, 0.3814686014473235)	(25, 0.38319076958009024)	(26, 0.3855817408712131)	(27, 0.3876048704252401)	(28, 0.3892935984000891)	(29, 0.3914003283489106)	(30, 0.39414242129817034)	(31, 0.39649995243137537)	(32, 0.39874044301186806)	(33, 0.4013487753294566)	(34, 0.4045924706474834)	(35, 0.4071673628071541)	(36, 0.4106116990726877)	(37, 0.41363803336424876)	(38, 0.41699876923498785)	(39, 0.4199415031317544)
SRR10551661 - polya	(1, 0.4117132687705009)	(2, 0.41590068435507643)	(3, 0.4180354452413306)	(4, 0.41997315127654594)	(5, 0.4226990767159167)	(6, 0.42412772438594837)	(7, 0.42639385517289513)	(8, 0.43411183683858334)	(9, 0.43976074256836367)	(10, 0.4512884513541363)	(11, 0.45348889719073676)	(12, 0.4555579731266447)	(13, 0.4586123233177468)	(14, 0.4624384716754178)	(15, 0.46567345547997224)	(16, 0.46859643577038185)	(17, 0.4710924638835406)	(18, 0.47417965654981586)	(19, 0.4788268667868154)	(20, 0.48393387167623886)	(21, 0.4881869722111607)	(22, 0.4916682745795137)	(23, 0.4947390460082024)	(24, 0.49881151292967196)	(25, 0.5022928152980249)	(26, 0.5057412751912048)	(27, 0.5085493068185084)	(28, 0.5113080747330523)	(29, 0.5151342230907232)	(30, 0.5198471182780691)	(31, 0.5238210577740191)	(32, 0.5274501512806513)	(33, 0.531555460677294)	(34, 0.5367281505170637)	(35, 0.5414410457044095)	(36, 0.5474840611362676)	(37, 0.5532971792419136)	(38, 0.5583549204185774)	(39, 0.5634455040704143)
SRR10551663 - polya	(1, 0.36236376095127726)	(2, 0.3642346002825561)	(3, 0.3650809323609918)	(4, 0.36631331065064376)	(5, 0.3684959565371358)	(6, 0.3701589248316059)	(7, 0.3721336996812892)	(8, 0.3765583831790757)	(9, 0.3799437114928184)	(10, 0.3881694653779652)	(11, 0.3892979081492128)	(12, 0.39088663678767976)	(13, 0.392505061288548)	(14, 0.3944352923446294)	(15, 0.39617250029510265)	(16, 0.398102731351184)	(17, 0.4000032665448641)	(18, 0.401992889325748)	(19, 0.40389342451942817)	(20, 0.40606122247471954)	(21, 0.40800630146200156)	(22, 0.4099662283804842)	(23, 0.41183706771176304)	(24, 0.4134703401438319)	(25, 0.4155045067183177)	(26, 0.41789502364161846)	(27, 0.42050825953292864)	(28, 0.4226166657634175)	(29, 0.42508142234272145)	(30, 0.42720467650441096)	(31, 0.42920914721649545)	(32, 0.43165905586459874)	(33, 0.43416835623750455)	(34, 0.43733096558323786)	(35, 0.44040448734176746)	(36, 0.44301772323307764)	(37, 0.44566065498678903)	(38, 0.44839267432770424)	(39, 0.4511989333246225)
SRR10551664 - polya	(1, 0.37015242329362297)	(2, 0.37235605670818633)	(3, 0.37319691682690126)	(4, 0.37460318288751077)	(5, 0.3766328452430296)	(6, 0.3778361450680872)	(7, 0.3795033677172634)	(8, 0.3832147503102121)	(9, 0.38602728243143114)	(10, 0.3924787092043303)	(11, 0.39381248732367125)	(12, 0.3953202365020567)	(13, 0.39687147844520326)	(14, 0.3986691793886628)	(15, 0.40014793339054083)	(16, 0.4017861608632096)	(17, 0.40361285698317656)	(18, 0.4054105579266361)	(19, 0.407193761281842)	(20, 0.4092524188138682)	(21, 0.41119509563986484)	(22, 0.41305078693633923)	(23, 0.4149934637623358)	(24, 0.4168926478235713)	(25, 0.4190382908851198)	(26, 0.4213579050057128)	(27, 0.4233585721847242)	(28, 0.4251997658929449)	(29, 0.4273744041310008)	(30, 0.43014344348745864)	(31, 0.43241956484329047)	(32, 0.4345797054930927)	(33, 0.4372182665552672)	(34, 0.4401612769707695)	(35, 0.4424663935031088)	(36, 0.4448584955649703)	(37, 0.4472940903915929)	(38, 0.45004863215979707)	(39, 0.4527451835749864)
SRR10551665 - polya	(1, 0.19792631668157534)	(2, 0.19975945974882753)	(3, 0.2003572237924967)	(4, 0.20164573739773917)	(5, 0.20312022203878985)	(6, 0.20393052440909695)	(7, 0.20503306697853124)	(8, 0.2075171086711121)	(9, 0.2098284629732996)	(10, 0.2148363972947059)	(11, 0.2159256562187253)	(12, 0.2172540207602124)	(13, 0.21860895259252922)	(14, 0.21991074984318656)	(15, 0.22114612886676954)	(16, 0.22240807518118227)	(17, 0.223670021495595)	(18, 0.22566256830782563)	(19, 0.22720347117595066)	(20, 0.22912959976110692)	(21, 0.23076348814713604)	(22, 0.2322379727881867)	(23, 0.234057832210024)	(24, 0.23573157153229773)	(25, 0.23763113282662426)	(26, 0.23967681422051437)	(27, 0.24144353906069219)	(28, 0.2428914564109131)	(29, 0.2445784793786017)	(30, 0.24649132431834309)	(31, 0.2480322271864681)	(32, 0.24989193754455002)	(33, 0.2516055278030684)	(34, 0.2538637475235964)	(35, 0.25575002517250806)	(36, 0.25770272104849407)	(37, 0.2598945225419478)	(38, 0.26223244413496505)	(39, 0.2641585727201213)
