Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR10551657	(1.0, 11.564487867358753)	(2.0, 3.597757349992902)	(3.0, 1.9670941325479998)	(4.0, 1.3117265614479958)	(5.0, 0.9810776935001246)	(6.0, 0.7698477096619871)	(7.0, 0.5922862289168482)	(8.0, 0.50387336222743)	(9.0, 0.4687940517059226)	('>10', 6.068595660917927)	('>50', 2.6814128379852273)	('>100', 11.564504336621194)	('>500', 8.652153974069318)	('>1k', 24.998384808844463)	('>5k', 8.22621355787379)	('>10k+', 16.05178986632812)
SRR10551658	(1.0, 12.82483281764509)	(2.0, 3.6251079609710266)	(3.0, 1.9974291871526022)	(4.0, 1.2748846092414805)	(5.0, 0.9208566325883443)	(6.0, 0.7211368298462106)	(7.0, 0.6130485100959016)	(8.0, 0.49545023817588985)	(9.0, 0.43999245493528744)	('>10', 6.067007983811036)	('>50', 3.0721044126160626)	('>100', 14.092568146265974)	('>500', 10.169473139011648)	('>1k', 23.98778537732132)	('>5k', 6.686734497234316)	('>10k+', 13.011587203087819)
SRR10551659	(1.0, 11.796216197193628)	(2.0, 3.480900733607839)	(3.0, 1.7976627741323554)	(4.0, 1.247206122026912)	(5.0, 0.8804430887372496)	(6.0, 0.7000570020445451)	(7.0, 0.5956321388242983)	(8.0, 0.4883359285996509)	(9.0, 0.4344327174407539)	('>10', 5.681821191303216)	('>50', 2.7405029047039644)	('>100', 12.461105350877538)	('>500', 9.397008649481542)	('>1k', 26.128818077223148)	('>5k', 7.952232754045207)	('>10k+', 14.21762436975815)
SRR10551660	(1.0, 18.29628027020493)	(2.0, 5.236903204322853)	(3.0, 2.5746856236624223)	(4.0, 1.6450056311258425)	(5.0, 1.1774628800792826)	(6.0, 0.9219786744145319)	(7.0, 0.7364919755586607)	(8.0, 0.5972450907351123)	(9.0, 0.5367738869544392)	('>10', 7.065469237579647)	('>50', 4.051387435291697)	('>100', 17.656830146042577)	('>500', 11.547247068297432)	('>1k', 19.835520899583237)	('>5k', 3.5777933834475424)	('>10k+', 4.542924592699786)
SRR10551661	(1.0, 16.36093814742676)	(2.0, 4.81432392488431)	(3.0, 2.488439063548737)	(4.0, 1.526956575905333)	(5.0, 1.0966656388956608)	(6.0, 0.8607847133494146)	(7.0, 0.7148407787161974)	(8.0, 0.5894190650671463)	(9.0, 0.5072729692538547)	('>10', 7.0543141784636525)	('>50', 3.7237345942232145)	('>100', 16.09109307384377)	('>500', 10.146398744825111)	('>1k', 20.869222500790492)	('>5k', 5.2713055108239475)	('>10k+', 7.884290519982386)
SRR10551662	(1.0, 11.204167312073388)	(2.0, 3.0843098078828137)	(3.0, 1.5169064711645048)	(4.0, 0.9519175370554597)	(5.0, 0.6829452904785734)	(6.0, 0.5049488503787722)	(7.0, 0.3962001587127558)	(8.0, 0.3155839284802646)	(9.0, 0.2812603891072355)	('>10', 3.9481212412982933)	('>50', 2.667100334144043)	('>100', 15.195556753942489)	('>500', 12.615187281563225)	('>1k', 33.069712878538446)	('>5k', 7.745645017819626)	('>10k+', 5.8204367473601)
SRR10551663	(1.0, 13.913724739019559)	(2.0, 3.7363791188279776)	(3.0, 1.7424304646473285)	(4.0, 1.0866657343389339)	(5.0, 0.7941096129498171)	(6.0, 0.6174624944700028)	(7.0, 0.5050500644978249)	(8.0, 0.434167244341012)	(9.0, 0.3592025074058565)	('>10', 5.403583103790424)	('>50', 3.0080360661075396)	('>100', 14.805056847937308)	('>500', 10.851050729956627)	('>1k', 28.885039467356865)	('>5k', 6.87851427100051)	('>10k+', 6.979527533352413)
SRR10551664	(1.0, 14.760396839991241)	(2.0, 4.0669097059968635)	(3.0, 1.9271351750885704)	(4.0, 1.169948586151676)	(5.0, 0.8558919714521496)	(6.0, 0.6496506083917319)	(7.0, 0.5390379155556455)	(8.0, 0.4492297093665577)	(9.0, 0.3962679236019947)	('>10', 5.475098430470319)	('>50', 3.091993269998008)	('>100', 14.575133445323859)	('>500', 10.146762159490299)	('>1k', 28.573155299696936)	('>5k', 6.374140646015269)	('>10k+', 6.949248313408883)
SRR10551665	(1.0, 13.275341175689128)	(2.0, 3.721518480429748)	(3.0, 1.7711001944739773)	(4.0, 1.1401935500871894)	(5.0, 0.8052256389409514)	(6.0, 0.6131567668403111)	(7.0, 0.5055436287112199)	(8.0, 0.41871517731410446)	(9.0, 0.3560765225190285)	('>10', 5.212244627225253)	('>50', 2.8161601445192472)	('>100', 13.635148536093435)	('>500', 9.889742710149658)	('>1k', 29.712717242449994)	('>5k', 8.582828060894668)	('>10k+', 7.54428754366209)
