Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR10551657	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(11, 30.0)	(12, 30.0)	(13, 30.0)	(14, 30.0)	(15, 30.0)	(16, 30.0)	(17, 30.0)	(18, 30.0)	(19, 30.0)	(20, 30.0)	(21, 30.0)	(22, 30.0)	(23, 30.0)	(24, 30.0)	(25, 30.0)	(26, 30.0)	(27, 30.0)	(28, 30.0)	(29, 30.0)	(30, 30.0)	(31, 30.0)	(32, 30.0)	(33, 30.0)	(34, 30.0)	(35, 30.0)	(36, 30.0)	(37, 30.0)	(38, 30.0)	(39, 30.0)	(40, 30.0)	(41, 30.0)	(42, 30.0)	(43, 30.0)	(44, 30.0)	(45, 30.0)	(46, 30.0)	(47, 30.0)	(48, 30.0)	(49, 30.0)	(50, 30.0)
SRR10551658	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(11, 30.0)	(12, 30.0)	(13, 30.0)	(14, 30.0)	(15, 30.0)	(16, 30.0)	(17, 30.0)	(18, 30.0)	(19, 30.0)	(20, 30.0)	(21, 30.0)	(22, 30.0)	(23, 30.0)	(24, 30.0)	(25, 30.0)	(26, 30.0)	(27, 30.0)	(28, 30.0)	(29, 30.0)	(30, 30.0)	(31, 30.0)	(32, 30.0)	(33, 30.0)	(34, 30.0)	(35, 30.0)	(36, 30.0)	(37, 30.0)	(38, 30.0)	(39, 30.0)	(40, 30.0)	(41, 30.0)	(42, 30.0)	(43, 30.0)	(44, 30.0)	(45, 30.0)	(46, 30.0)	(47, 30.0)	(48, 30.0)	(49, 30.0)	(50, 30.0)
SRR10551659	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(11, 30.0)	(12, 30.0)	(13, 30.0)	(14, 30.0)	(15, 30.0)	(16, 30.0)	(17, 30.0)	(18, 30.0)	(19, 30.0)	(20, 30.0)	(21, 30.0)	(22, 30.0)	(23, 30.0)	(24, 30.0)	(25, 30.0)	(26, 30.0)	(27, 30.0)	(28, 30.0)	(29, 30.0)	(30, 30.0)	(31, 30.0)	(32, 30.0)	(33, 30.0)	(34, 30.0)	(35, 30.0)	(36, 30.0)	(37, 30.0)	(38, 30.0)	(39, 30.0)	(40, 30.0)	(41, 30.0)	(42, 30.0)	(43, 30.0)	(44, 30.0)	(45, 30.0)	(46, 30.0)	(47, 30.0)	(48, 30.0)	(49, 30.0)	(50, 30.0)
SRR10551660	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(11, 30.0)	(12, 30.0)	(13, 30.0)	(14, 30.0)	(15, 30.0)	(16, 30.0)	(17, 30.0)	(18, 30.0)	(19, 30.0)	(20, 30.0)	(21, 30.0)	(22, 30.0)	(23, 30.0)	(24, 30.0)	(25, 30.0)	(26, 30.0)	(27, 30.0)	(28, 30.0)	(29, 30.0)	(30, 30.0)	(31, 30.0)	(32, 30.0)	(33, 30.0)	(34, 30.0)	(35, 30.0)	(36, 30.0)	(37, 30.0)	(38, 30.0)	(39, 30.0)	(40, 30.0)	(41, 30.0)	(42, 30.0)	(43, 30.0)	(44, 30.0)	(45, 30.0)	(46, 30.0)	(47, 30.0)	(48, 30.0)	(49, 30.0)	(50, 30.0)
SRR10551661	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(11, 30.0)	(12, 30.0)	(13, 30.0)	(14, 30.0)	(15, 30.0)	(16, 30.0)	(17, 30.0)	(18, 30.0)	(19, 30.0)	(20, 30.0)	(21, 30.0)	(22, 30.0)	(23, 30.0)	(24, 30.0)	(25, 30.0)	(26, 30.0)	(27, 30.0)	(28, 30.0)	(29, 30.0)	(30, 30.0)	(31, 30.0)	(32, 30.0)	(33, 30.0)	(34, 30.0)	(35, 30.0)	(36, 30.0)	(37, 30.0)	(38, 30.0)	(39, 30.0)	(40, 30.0)	(41, 30.0)	(42, 30.0)	(43, 30.0)	(44, 30.0)	(45, 30.0)	(46, 30.0)	(47, 30.0)	(48, 30.0)	(49, 30.0)	(50, 30.0)
SRR10551662	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(11, 30.0)	(12, 30.0)	(13, 30.0)	(14, 30.0)	(15, 30.0)	(16, 30.0)	(17, 30.0)	(18, 30.0)	(19, 30.0)	(20, 30.0)	(21, 30.0)	(22, 30.0)	(23, 30.0)	(24, 30.0)	(25, 30.0)	(26, 30.0)	(27, 30.0)	(28, 30.0)	(29, 30.0)	(30, 30.0)	(31, 30.0)	(32, 30.0)	(33, 30.0)	(34, 30.0)	(35, 30.0)	(36, 30.0)	(37, 30.0)	(38, 30.0)	(39, 30.0)	(40, 30.0)	(41, 30.0)	(42, 30.0)	(43, 30.0)	(44, 30.0)	(45, 30.0)	(46, 30.0)	(47, 30.0)	(48, 30.0)	(49, 30.0)	(50, 30.0)
SRR10551663	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(11, 30.0)	(12, 30.0)	(13, 30.0)	(14, 30.0)	(15, 30.0)	(16, 30.0)	(17, 30.0)	(18, 30.0)	(19, 30.0)	(20, 30.0)	(21, 30.0)	(22, 30.0)	(23, 30.0)	(24, 30.0)	(25, 30.0)	(26, 30.0)	(27, 30.0)	(28, 30.0)	(29, 30.0)	(30, 30.0)	(31, 30.0)	(32, 30.0)	(33, 30.0)	(34, 30.0)	(35, 30.0)	(36, 30.0)	(37, 30.0)	(38, 30.0)	(39, 30.0)	(40, 30.0)	(41, 30.0)	(42, 30.0)	(43, 30.0)	(44, 30.0)	(45, 30.0)	(46, 30.0)	(47, 30.0)	(48, 30.0)	(49, 30.0)	(50, 30.0)
SRR10551664	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(11, 30.0)	(12, 30.0)	(13, 30.0)	(14, 30.0)	(15, 30.0)	(16, 30.0)	(17, 30.0)	(18, 30.0)	(19, 30.0)	(20, 30.0)	(21, 30.0)	(22, 30.0)	(23, 30.0)	(24, 30.0)	(25, 30.0)	(26, 30.0)	(27, 30.0)	(28, 30.0)	(29, 30.0)	(30, 30.0)	(31, 30.0)	(32, 30.0)	(33, 30.0)	(34, 30.0)	(35, 30.0)	(36, 30.0)	(37, 30.0)	(38, 30.0)	(39, 30.0)	(40, 30.0)	(41, 30.0)	(42, 30.0)	(43, 30.0)	(44, 30.0)	(45, 30.0)	(46, 30.0)	(47, 30.0)	(48, 30.0)	(49, 30.0)	(50, 30.0)
SRR10551665	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(11, 30.0)	(12, 30.0)	(13, 30.0)	(14, 30.0)	(15, 30.0)	(16, 30.0)	(17, 30.0)	(18, 30.0)	(19, 30.0)	(20, 30.0)	(21, 30.0)	(22, 30.0)	(23, 30.0)	(24, 30.0)	(25, 30.0)	(26, 30.0)	(27, 30.0)	(28, 30.0)	(29, 30.0)	(30, 30.0)	(31, 30.0)	(32, 30.0)	(33, 30.0)	(34, 30.0)	(35, 30.0)	(36, 30.0)	(37, 30.0)	(38, 30.0)	(39, 30.0)	(40, 30.0)	(41, 30.0)	(42, 30.0)	(43, 30.0)	(44, 30.0)	(45, 30.0)	(46, 30.0)	(47, 30.0)	(48, 30.0)	(49, 30.0)	(50, 30.0)
